id,Description,Seller Message,Created (UTC),Amount,Currency,Status,Statement Descriptor,Customer ID,Customer Description,Customer Email,Captured,Card ID,Card Brand,Card Funding,Card Exp Month,Card Exp Year,Card CVC Status,Card AVS Zip Status,Card AVS Line1 Status,Invoice ID,Invoice Number,Transfer,Merchant Service Charge,invoiceNumber (metadata),mySugr-Backend-Region (metadata)
ch_1GhOAnGF2YxxrSPIcoWs4mya,Charge for payment f3c35691-c545-45e5-b8d8-ea0eafeb9c2b,Payment complete.,2020-05-10 23:03,"49,00",usd,Paid,,cus_HFtyNM3S7vBiPf,,,true,src_1GhOA9GF2YxxrSPInVv5e7bi,American Express,credit,7,2024,pass,pass,pass,,,,,,US
ch_1GhO3LGF2YxxrSPIACyP3wLs,Invoice 42C9AC20-0012,Payment complete.,2020-05-10 22:55,"49,00",usd,Paid,mySugr Bundle US,cus_FEOEVW02MIsDLl,,,true,src_1EjvRMGF2YxxrSPI6EJ7z0Ef,MasterCard,debit,4,2022,,fail,pass,in_1GhN78GF2YxxrSPI3Mmu0UpN,42C9AC20-0012,,,US 2020-4357,
ch_1GhNkoGF2YxxrSPI5MKemWjn,Charge for payment f2f2ed1d-63c3-46b0-9e89-d56da7e0e4aa,Payment complete.,2020-05-10 22:36,"49,00",usd,Paid,,cus_HFtXt6F5DiQoQ1,,,true,src_1GhNjiGF2YxxrSPIHPQZhaJk,MasterCard,debit,10,2022,pass,pass,pass,,,,,,US
ch_1GhNQUGF2YxxrSPIXv9bOwa8,Charge for payment c7454434-d73c-4fd2-bce4-80240d0b13c6,The bank returned the decline code `do_not_honor`.,2020-05-10 22:15,"49,00",usd,Failed,,cus_Gb3dTD1mcl50MZ,,,false,src_1G3rVhGF2YxxrSPI7ZFK4xSl,MasterCard,credit,5,2024,,pass,pass,,,,,,US
ch_1GhNQPGF2YxxrSPIV9cle9A8,Charge for payment f6994efe-8422-467b-8f00-24cc4037803e,The bank returned the decline code `do_not_honor`.,2020-05-10 22:15,"49,00",usd,Failed,,cus_Gb3TYBdzO5BEgo,,,false,src_1G3rMMGF2YxxrSPIj8nOJM62,Visa,credit,3,2024,,pass,pass,,,,,,US
ch_1GhM6EGF2YxxrSPIOajZeayn,Charge for payment 285cffbf-59fa-4c2f-a86c-31d8be2348d2,Payment complete.,2020-05-10 20:50,"49,00",usd,Paid,,cus_Gi8ydI5kVHX4wX,,,true,src_1GAigCGF2YxxrSPIDthgzAlG,Visa,debit,8,2023,,pass,pass,,,,,,US
ch_1GhLv0GF2YxxrSPIVFRXNRll,Invoice 2A11CADB-0007,Payment complete.,2020-05-10 20:38,"49,00",usd,Paid,mySugr Bundle US,cus_G9fa7y8vPtf11I,,,true,src_1FdMEhGF2YxxrSPIRoD0q1cx,Visa,credit,7,2023,,pass,pass,in_1GhKysGF2YxxrSPIWQyvWJBl,2A11CADB-0007,,,US 2020-4354,
ch_1GhLV4GF2YxxrSPIDpht2QEB,Invoice 88F65F3-0026,Payment complete.,2020-05-10 20:11,"49,00",usd,Paid,mySugr Bundle US,cus_CZw51HjxdY88Dq,,,true,src_1FzStGGF2YxxrSPIBaMgh14G,MasterCard,credit,8,2024,,pass,pass,in_1GhKYwGF2YxxrSPIGkWFaYXG,88F65F3-0026,,,US 2020-4352,
ch_1GhLT5GF2YxxrSPIVhcynst2,Invoice D0D6E5A2-0008,Payment complete.,2020-05-10 20:09,"49,00",usd,Paid,mySugr Bundle US,cus_Fy37116kchy9NC,,,true,src_1FS70VGF2YxxrSPIU8L3RRa3,Visa,credit,9,2023,,pass,pass,in_1GhKWxGF2YxxrSPILMsCLbBN,D0D6E5A2-0008,,,US 2020-4351,
ch_1GhL3mGF2YxxrSPIrNNqcW48,Invoice 011E33E-0016,Payment complete.,2020-05-10 19:43,"49,00",usd,Paid,mySugr Bundle US,cus_EVO3WBpGmk3V0I,,,true,src_1E2NGDGF2YxxrSPIVgBFAzib,Visa,credit,4,2020,,pass,,in_1GhK7cGF2YxxrSPIhdlBwVGr,011E33E-0016,,,US 2020-4350,
