id,Description,Seller Message,Created (UTC),Amount,Amount Refunded,Currency,Status,Customer ID,Captured,Card ID,Card Brand,Card Funding,Card Exp Month,Card Exp Year,Card Address Country,Card Issue Country,Card CVC Status,Card AVS Zip Status,Card AVS Line1 Status,Invoice ID,Invoice Number,Payment Source Type,Destination,Transfer,Interchange Costs,Merchant Service Charge,Transfer Group,PaymentIntent ID,invoiceNumber (metadata),mySugr-Backend-Region (metadata)
ch_1GhOAnGF2YxxrSPIcoWs4mya,Charge for payment f3c35691-c545-45e5-b8d8-ea0eafeb9c2b,Payment complete.,2020-05-10 23:03,"49,00","0,00",usd,Paid,cus_HFtyNM3S7vBiPf,true,src_1GhOA9GF2YxxrSPInVv5e7bi,American Express,credit,7,2024,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1GhO3LGF2YxxrSPIACyP3wLs,Invoice 42C9AC20-0012,Payment complete.,2020-05-10 22:55,"49,00","0,00",usd,Paid,cus_FEOEVW02MIsDLl,true,src_1EjvRMGF2YxxrSPI6EJ7z0Ef,MasterCard,debit,4,2022,us,US,,fail,pass,in_1GhN78GF2YxxrSPI3Mmu0UpN,42C9AC20-0012,card,,,,,,pi_1GhO3KGF2YxxrSPIoBzxRld4,US 2020-4357,
ch_1GhNkoGF2YxxrSPI5MKemWjn,Charge for payment f2f2ed1d-63c3-46b0-9e89-d56da7e0e4aa,Payment complete.,2020-05-10 22:36,"49,00","0,00",usd,Paid,cus_HFtXt6F5DiQoQ1,true,src_1GhNjiGF2YxxrSPIHPQZhaJk,MasterCard,debit,10,2022,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1GhNQUGF2YxxrSPIXv9bOwa8,Charge for payment c7454434-d73c-4fd2-bce4-80240d0b13c6,The bank returned the decline code `do_not_honor`.,2020-05-10 22:15,"49,00","0,00",usd,Failed,cus_Gb3dTD1mcl50MZ,false,src_1G3rVhGF2YxxrSPI7ZFK4xSl,MasterCard,credit,5,2024,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhNQPGF2YxxrSPIV9cle9A8,Charge for payment f6994efe-8422-467b-8f00-24cc4037803e,The bank returned the decline code `do_not_honor`.,2020-05-10 22:15,"49,00","0,00",usd,Failed,cus_Gb3TYBdzO5BEgo,false,src_1G3rMMGF2YxxrSPIj8nOJM62,Visa,credit,3,2024,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhM6EGF2YxxrSPIOajZeayn,Charge for payment 285cffbf-59fa-4c2f-a86c-31d8be2348d2,Payment complete.,2020-05-10 20:50,"49,00","0,00",usd,Paid,cus_Gi8ydI5kVHX4wX,true,src_1GAigCGF2YxxrSPIDthgzAlG,Visa,debit,8,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhLv0GF2YxxrSPIVFRXNRll,Invoice 2A11CADB-0007,Payment complete.,2020-05-10 20:38,"49,00","0,00",usd,Paid,cus_G9fa7y8vPtf11I,true,src_1FdMEhGF2YxxrSPIRoD0q1cx,Visa,credit,7,2023,us,US,,pass,pass,in_1GhKysGF2YxxrSPIWQyvWJBl,2A11CADB-0007,card,,,,,,pi_1GhLuzGF2YxxrSPICkgnddpx,US 2020-4354,
ch_1GhLV4GF2YxxrSPIDpht2QEB,Invoice 88F65F3-0026,Payment complete.,2020-05-10 20:11,"49,00","0,00",usd,Paid,cus_CZw51HjxdY88Dq,true,src_1FzStGGF2YxxrSPIBaMgh14G,MasterCard,credit,8,2024,us,US,,pass,pass,in_1GhKYwGF2YxxrSPIGkWFaYXG,88F65F3-0026,card,,,,,,pi_1GhLV3GF2YxxrSPIWLYpH0aH,US 2020-4352,
ch_1GhLT5GF2YxxrSPIVhcynst2,Invoice D0D6E5A2-0008,Payment complete.,2020-05-10 20:09,"49,00","0,00",usd,Paid,cus_Fy37116kchy9NC,true,src_1FS70VGF2YxxrSPIU8L3RRa3,Visa,credit,9,2023,us,US,,pass,pass,in_1GhKWxGF2YxxrSPILMsCLbBN,D0D6E5A2-0008,card,,,,,,pi_1GhLT5GF2YxxrSPIRW64J64R,US 2020-4351,
ch_1GhL3mGF2YxxrSPIrNNqcW48,Invoice 011E33E-0016,Payment complete.,2020-05-10 19:43,"49,00","0,00",usd,Paid,cus_EVO3WBpGmk3V0I,true,src_1E2NGDGF2YxxrSPIVgBFAzib,Visa,credit,4,2020,,US,,pass,,in_1GhK7cGF2YxxrSPIhdlBwVGr,011E33E-0016,card,,,,,,pi_1GhL3mGF2YxxrSPIGk1uK0gs,US 2020-4350,
ch_1GhKNTGF2YxxrSPIWWeENKLR,Charge for payment 66e717f6-f5f3-4537-8c93-039bc7a3f9fe,Payment complete.,2020-05-10 18:59,"49,00","0,00",usd,Paid,cus_HFq3Ha3Fh31sEb,true,src_1GhKJJGF2YxxrSPIy7EaWDPb,MasterCard,debit,10,2022,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1GhJgJGF2YxxrSPI76jzH6i9,Charge for payment 09cc18ae-6232-435d-aac7-24c00cc3646e,The bank returned the decline code `do_not_honor`.,2020-05-10 18:15,"49,00","0,00",usd,Failed,cus_Gaz70FBIL8S6x8,false,src_1G3n8bGF2YxxrSPIa17jDmIo,Visa,prepaid,11,2023,us,US,,unavailable,unavailable,,,card,,,,,,,,US
ch_1GhJgAGF2YxxrSPIl47h8sBr,Charge for payment 2f1159cc-c12e-4e2b-a898-6e21ece897af,The bank returned the decline code `stolen_card`.,2020-05-10 18:15,"49,00","0,00",usd,Failed,cus_FKmt81qeNtFYJv,false,src_1Eq7KIGF2YxxrSPII1PnMSDR,Visa,debit,3,2023,us,US,,unavailable,unavailable,,,card,,,,,,,,US
ch_1GhJg5GF2YxxrSPIM36CGXp2,Charge for payment 779b51e7-5f5e-4889-8701-24e589284f86,The bank returned the decline code `transaction_not_allowed`.,2020-05-10 18:15,"49,00","0,00",usd,Failed,cus_GnaR79aVD1ZbCW,false,src_1GFzCXGF2YxxrSPIAwwgbfrO,MasterCard,debit,10,2022,us,US,,unavailable,unavailable,,,card,,,,,,,,US
ch_1GhJUhGF2YxxrSPIlwojkkFM,Invoice F610E931-0005,Payment complete.,2020-05-10 18:03,"49,00","0,00",usd,Paid,cus_GWTqj0BRPqa7Va,true,src_1FzQsWGF2YxxrSPITF9O7Sfc,Visa,debit,9,2021,us,US,,pass,pass,in_1GhIYaGF2YxxrSPIDWlsw1Lm,F610E931-0005,card,,,,,,pi_1GhJUgGF2YxxrSPIsdmJUtB5,US 2020-4347,
ch_1GhHqBGF2YxxrSPIYOs5kVMa,Invoice 70AF382-0017,Payment complete.,2020-05-10 16:17,"49,00","0,00",usd,Paid,cus_EJigrLUYO0No6l,true,src_1Dr5GiGF2YxxrSPIyZceYWi5,Visa,credit,7,2023,,US,,pass,,in_1GhGu2GF2YxxrSPI2CgyHrMM,70AF382-0017,card,,,,,,pi_1GhHqBGF2YxxrSPIV8Ksej0M,US 2020-4344,
ch_1GhHiTGF2YxxrSPIX0wG3mzK,Charge for payment 0da82482-bdb9-4257-8bdd-60ab588b5d97,Payment complete.,2020-05-10 16:09,"49,00","0,00",usd,Paid,cus_HFnIzVr2O9HBLZ,true,src_1GhHhoGF2YxxrSPIixyVqi2P,Visa,credit,12,2023,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1GhHRoGF2YxxrSPIiOc3DBev,Charge for payment 2350f02b-c0a8-4f8c-92e1-defa660e940e,Payment complete.,2020-05-10 15:52,"49,00","0,00",usd,Paid,cus_Gi3gnrQKBJYUuI,true,src_1GAdYyGF2YxxrSPI004ca4pE,Visa,credit,12,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhGWBGF2YxxrSPIq7yDpHFx,Charge for payment 707774c8-88e5-4642-bafc-99cb5235c4d6,The bank returned the decline code `do_not_honor`.,2020-05-10 14:52,"49,00","0,00",usd,Failed,cus_H4WDnUVJkfSrpP,false,src_1GWNAyGF2YxxrSPIkucJXQlS,MasterCard,credit,3,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhGL2GF2YxxrSPIG5cmbp40,Invoice 51BAA06B-0006,Payment complete.,2020-05-10 14:41,"49,00","0,00",usd,Paid,cus_GKoamJ1tlvMBsc,true,src_1Fo8wrGF2YxxrSPIm1bJwutl,Visa,credit,10,2024,us,US,,pass,pass,in_1GhFOrGF2YxxrSPIKjMQcXPp,51BAA06B-0006,card,,,,,,pi_1GhGL2GF2YxxrSPIpH6Pd7rV,US 2020-4340,
ch_1GhGG1GF2YxxrSPI4dfuMH0J,Invoice 40483FC9-0005,The bank returned the decline code `insufficient_funds`.,2020-05-10 14:35,"49,00","0,00",usd,Failed,cus_GWQV0atss19yl7,false,card_1GB6zZGF2YxxrSPIJZE0Mpbg,Visa,debit,1,2023,,US,,,,in_1GhFJqGF2YxxrSPIJSMqjiVW,40483FC9-0005,card,,,,,,pi_1GhGG0GF2YxxrSPIMYpXnXuw,,
ch_1GhFvrGF2YxxrSPIiuhduOZm,Charge for payment f8a06c72-dfb2-4077-86b4-77248e14aea2,The bank returned the decline code `do_not_honor`.,2020-05-10 14:15,"49,00","0,00",usd,Failed,cus_GamVDWqW351YzH,false,src_1G3aqeGF2YxxrSPI4vT91Sq7,Visa,credit,12,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhF9gGF2YxxrSPIirRaxcGn,Invoice FB7A9A8E-0007,Payment complete.,2020-05-10 13:25,"49,00","0,00",usd,Paid,cus_G9YaF1z7tSlY8o,true,card_1GGoZ4GF2YxxrSPI173qzLsl,Visa,debit,3,2023,,US,,,,in_1GhEDXGF2YxxrSPIYxWpsHD4,FB7A9A8E-0007,card,,,,,,pi_1GhF9gGF2YxxrSPIwHCAAWje,US 2020-4338,
